model_a,mean,std,lower,upper
gpt-4o-2024-05-13,1282.9367407157497,1.6398682452583133,-2.8247562113679123,2.6764560020303634
claude-3-5-sonnet-20240620,1267.3765432276837,2.473465085311591,-4.180948986271687,4.1278213700268225
gemini-advanced-0514,1260.7899621287745,1.7809815686845858,-2.9087520157634117,2.8457087215494994
gemini-1.5-pro-api-0514,1258.6322707322195,1.7117659207897276,-2.8591641726516173,2.7135447623568325
gpt-4-turbo-2024-04-09,1251.95370109898,1.4199864677071166,-2.323435665243096,2.3287788493757944
gpt-4-1106-preview,1248.2831258779042,1.387369337640162,-2.3438995671169778,2.3137345260679467
gemini-1.5-pro-api-0409-preview,1246.826027736009,1.5887560785518082,-2.6283840754933863,2.6097225184694253
claude-3-opus-20240229,1244.595607617277,1.2706523497220028,-2.1458067878327256,2.094084519759008
gpt-4-0125-preview,1242.7940183507274,1.4042162615454339,-2.3549375836903437,2.234302343568288
yi-large-preview,1233.0022663902141,1.6867421674260237,-2.764870182807954,2.8342172527804905
gemini-1.5-flash-api-0514,1225.5226647429638,1.7849133912350423,-2.996365326641353,3.0151043450287034
yi-large,1214.7429722450618,2.836665879910678,-4.475188941449005,4.399516236996533
gemma-2-27b-it,1210.4110864951613,3.6338266218194146,-6.026453612602154,5.939361847503051
bard-jan-24-gemini-pro,1207.4439424825584,2.8522568322765873,-4.533481880151612,4.686289687800809
glm-4-0520,1205.7141307428792,3.1448818301922365,-5.10559240325847,5.022914332735127
nemotron-4-340b-instruct,1204.2203688484897,2.3252414786486204,-3.909757208515657,3.6134785397330234
llama-3-70b-instruct,1201.9697286617409,1.280667314424143,-2.1048338604434775,2.128148112322606
claude-3-sonnet-20240229,1197.8317171360893,1.2991988718752354,-2.1614519057498,2.1503997778529538
reka-core-20240501,1194.481016717531,1.449244863295276,-2.397341441601384,2.435671810340409
command-r-plus,1188.193878275687,1.397302444470165,-2.272213678890239,2.242237507246955
gpt-4-0314,1187.8007846157657,1.5703774628113631,-2.6091933590312237,2.545849633554326
qwen-max-0428,1184.7249779372778,1.7871689359220415,-2.8766849689000082,2.737951443353495
qwen2-72b-instruct,1184.279427212407,1.9601609751433713,-3.1911703786261114,3.2866743582831077
claude-3-haiku-20240307,1181.4756003147083,1.3634556332888352,-2.233395106100488,2.223202968807527
gemma-2-9b-it,1179.7696556907342,3.7134780336056727,-5.963076051187272,6.039645978670478
deepseek-coder-v2,1176.8762263619215,2.918747379773031,-4.870180202270376,4.595216797416697
glm-4-0116,1173.315803671922,3.1802319141443056,-5.252686067394279,5.143892569028594
qwen1.5-110b-chat,1164.8143917297552,1.892290836574755,-3.1246638734207863,3.1023560146823
gpt-4-0613,1164.6763191306159,1.4256141320643168,-2.360779410765417,2.2167338611036485
reka-flash-preview-20240611,1164.3837377536324,2.576163435843766,-4.088849088013376,4.273503187904453
yi-1.5-34b-chat,1158.028100227242,2.113038585036735,-3.402300253328576,3.343512133755894
reka-flash-21b-20240226-online,1154.93502634473,2.22630851841793,-3.6519358130324235,3.6403786320231575
mistral-large-2402,1154.6016715936798,1.5152504438111383,-2.381595742754371,2.51385127450294
llama-3-8b-instruct,1153.5962326620063,1.3744168484358124,-2.3371566019627608,2.1642649781504133
qwen1.5-72b-chat,1151.2003725798634,1.5843922096048908,-2.616971513377848,2.4204035193642994
claude-1,1150.3361229648217,2.2959240303538038,-3.752813110543457,3.72489518035718
command-r,1149.4936261305595,1.5068622927719684,-2.5499752764117147,2.466646760802405
reka-flash-21b-20240226,1146.5380206179448,1.9495357607640404,-3.307903008150106,3.1069493287341174
mistral-medium,1145.9920391877451,1.7407603679613977,-2.8249193455949353,2.882459374369546
mixtral-8x22b-instruct-v0.1,1145.6131100908253,1.6479153052976028,-2.685728848058943,2.7442071105217565
gemini-pro-dev-api,1135.5527538669965,2.3159283018867907,-3.743552982954043,3.556425192010238
claude-2.0,1132.5616645464725,2.809721928346337,-4.511850051557076,4.7474450142626665
qwen1.5-32b-chat,1131.997516592394,1.990397311547345,-3.3721348694189146,3.339075728122225
zephyr-orpo-141b-A35b-v0.1,1127.8504078923165,3.82071061895504,-5.975173314130416,6.3331817893285915
mistral-next,1127.1997640261363,2.705098614719511,-4.502303201298673,4.541153464739409
phi-3-medium-4k-instruct,1124.8135310948608,2.4924089211756444,-4.084978986144733,4.118166474124337
gpt-3.5-turbo-0613,1120.4211983144423,1.7619559958548427,-2.9474515659023837,2.8743832453549203
qwen1.5-14b-chat,1119.1304693170907,2.095647425728856,-3.6518137617342745,3.4250202545895263
starling-lm-7b-beta,1118.7312273926152,2.300894166514345,-4.048850237642,3.7036336717151244
claude-2.1,1118.0853113140524,1.7962736507471184,-2.9155612697018114,2.9709197487927668
