,mean,std,lower,upper
gpt-4o-2024-05-13,52.36482318975345,5.304480001326497,-9.156400610396851,8.966019411845352
claude-3-5-sonnet-20240620,44.77629595050014,7.361700297387036,-12.07207531850355,12.085903441614313
gemini-advanced-0514,68.81552472328393,5.512025762677822,-8.930574994398683,8.718851584342644
gemini-1.5-pro-api-0514,75.53819207366465,5.472735911934032,-8.682142951930757,8.497099348461234
gpt-4-turbo-2024-04-09,50.28182105850209,4.373432688856922,-7.057644088586116,7.39855205022873
gpt-4-1106-preview,52.46810748594726,4.756915311053703,-7.896576188875088,7.457897767693417
gemini-1.5-pro-api-0409-preview,54.586004975474125,5.142521441048933,-8.515661266960258,8.335473153811499
claude-3-opus-20240229,70.3477685348971,3.9854396481426084,-6.570529482478378,6.594600726820232
gpt-4-0125-preview,52.6170469474542,4.467865967031361,-7.437362127391118,7.247565086883043
yi-large-preview,83.84828730207194,5.497738739394499,-8.79987973068097,8.858156089195617
gemini-1.5-flash-api-0514,66.44551218401934,5.621662666405488,-9.300860461464097,9.42033455589847
yi-large,57.72522854515232,9.343649980610696,-15.112539406903068,15.305436459151437
gemma-2-27b-it,54.18240172754802,11.962760466853537,-20.076892442784008,20.12118038264392
bard-jan-24-gemini-pro,58.573016386379464,14.374182502676232,-22.500560195691847,24.09978752192903
glm-4-0520,89.73822919996593,10.065654802089817,-15.97479421409139,17.219888608222035
nemotron-4-340b-instruct,62.121462296743324,7.491683509472529,-12.435135886371562,12.342341645044655
llama-3-70b-instruct,-32.238323216730755,4.078884980193494,-6.583401484969016,6.532493643740388
claude-3-sonnet-20240229,48.48294765312604,3.800761706233707,-6.606234685125152,6.124671519408707
reka-core-20240501,62.79253795232905,5.09802487953613,-8.478256693934334,8.34849095595991
command-r-plus,63.115757880658414,4.2728821085139055,-7.0299778803523125,6.919342776564882
gpt-4-0314,53.8146303455407,5.032457530191074,-8.316853920237278,8.327684128704227
qwen-max-0428,105.41469708176533,6.924846449205744,-11.415915907863294,11.2546114087327
qwen2-72b-instruct,106.30477150367413,6.356510475348448,-10.378025094726837,10.55233910081536
claude-3-haiku-20240307,32.56576237816077,4.106514881748067,-7.049794121231528,6.435950506755823
gemma-2-9b-it,56.49838196214973,11.669421183013565,-19.4790761550314,19.886309675532964
deepseek-coder-v2,80.11582453737586,9.6488560167526,-16.21185852665181,16.185481890671035
glm-4-0116,99.17283779102002,11.076085412233574,-17.887350303559614,18.531494957801684
