model_a,mean,std,lower,upper
gpt-4o-2024-05-13,12.854462334181255,3.9984723392992376,-6.736004614850172,6.304092216958815
claude-3-5-sonnet-20240620,34.550622971105724,5.756991880639499,-9.966259260244655,9.09956434053845
gemini-advanced-0514,-4.262415055145579,4.403050412132329,-7.4825319035434905,6.9628728266507265
gemini-1.5-pro-api-0514,8.474049086940889,4.2025334021860825,-7.00152213156478,6.829506981223486
gpt-4-turbo-2024-04-09,14.003825378171634,3.6207567621750294,-5.847267823852267,6.029515805650978
gpt-4-1106-preview,8.181070573245174,3.6338122250172082,-5.859288202355071,5.566782853594086
gemini-1.5-pro-api-0409-preview,-14.622729444728453,3.9495779829887163,-5.9500311331450195,6.320431041531638
claude-3-opus-20240229,6.399193940082416,3.2241571201753865,-5.336531074202542,5.05024750484767
gpt-4-0125-preview,3.025733852759713,3.655307053256293,-6.184543869864655,5.985864161579938
yi-large-preview,11.092786730258387,4.258995339073142,-7.092642824332698,6.701506189542658
gemini-1.5-flash-api-0514,9.16671651010516,4.458488552528418,-7.3490090446460385,7.3321947236419955
yi-large,18.30934798378869,7.2692709890098115,-11.863896207571809,11.869612190389876
gemma-2-27b-it,-4.556979678840363,8.825801718230105,-14.039510296668066,14.631487107312992
bard-jan-24-gemini-pro,-34.77110708574606,8.055902736269308,-13.280202094851568,13.105238572725632
glm-4-0520,13.224886867488294,7.680074629917685,-12.373544487101515,12.725491937133143
nemotron-4-340b-instruct,-7.444837754560598,6.32553752143767,-9.943028775816313,11.200637134956143
llama-3-70b-instruct,-0.2811463939850319,3.2289086774312437,-5.266626122568683,5.342486095409336
claude-3-sonnet-20240229,16.703204253376057,3.2945307232055407,-5.0990683884569385,5.390900046529239
reka-core-20240501,-4.283166716037363,3.74005714267475,-5.901493367794997,6.21558032543919
command-r-plus,-21.36078785216599,3.5731584654665967,-5.865041307785676,5.854596377728946
gpt-4-0314,9.664100495947583,4.0837897248799875,-6.737917204177311,6.49508680531651
qwen-max-0428,7.319892840881121,4.853853993386957,-8.349555110429387,7.793926453408144
qwen2-72b-instruct,-1.3211692919199913,5.074150354837589,-8.583758376195512,8.583856090069103
claude-3-haiku-20240307,9.971458951563283,3.4392073793926308,-5.6877755812869175,5.649177930600342
