model_a,mean,std,lower,upper
gpt-4o-2024-05-13,4.950067845020107,3.4304617701585323,-5.432037393217189,5.613898759330238
claude-3-5-sonnet-20240620,10.988339171461515,5.175960572078357,-8.806435941701821,8.474269472011107
gemini-advanced-0514,-7.745547046214967,3.763527562471771,-6.134848729394668,6.1917772072031925
gemini-1.5-pro-api-0514,4.752729174091735,3.731777917187992,-5.824684587789713,6.0965988656570635
gpt-4-turbo-2024-04-09,4.509891396775161,2.9177455898010747,-4.686658870840891,5.080575389257806
gpt-4-1106-preview,0.35725515408541425,3.074843583215819,-5.212139199722224,4.923259205053654
gemini-1.5-pro-api-0409-preview,-15.235421756438493,3.432486649344061,-5.767474771712916,5.4947644338404995
claude-3-opus-20240229,2.725679831523478,2.6689873603195338,-4.329945978488722,4.2902151142181015
gpt-4-0125-preview,2.0383725316301975,3.056128679050653,-5.0020388661565045,5.066878257529383
yi-large-preview,6.748251423641927,3.6144468895009614,-5.993245001457778,6.0864861494387075
gemini-1.5-flash-api-0514,1.3035848410520214,3.6514558924791203,-6.277326531725792,6.018283816202371
yi-large,5.721752547046253,6.238041487799821,-10.224054592136277,10.242652585679387
gemma-2-27b-it,-17.85247202139885,7.457884669633064,-12.479338616160085,11.683085236553705
bard-jan-24-gemini-pro,-50.69947331186447,6.68662482317688,-10.614885050120336,10.643515603414492
glm-4-0520,10.308475767963037,6.3882655596434335,-10.880885683442303,10.661668812800999
nemotron-4-340b-instruct,-4.134899419998265,5.0731134075842705,-8.180409285566274,8.34320276033041
llama-3-70b-instruct,-4.6439571817601255,2.7178541782689076,-4.523760307032302,4.483079638329768
claude-3-sonnet-20240229,1.2967069564117706,2.806292446858987,-4.74515181197272,4.4415623696531785
reka-core-20240501,-6.210539404462785,3.1900008556120003,-5.8286128809227105,5.222045900945303
command-r-plus,-19.778161638540695,3.020587643484419,-4.848092055094758,5.051196344633347
gpt-4-0314,8.922017689753352,3.463544919685517,-5.605846598273455,5.5335278504979435
qwen-max-0428,3.1451122858712153,4.2848616603363014,-7.07521044260616,7.10700963161508
qwen2-72b-instruct,1.489429895464202,4.191989532990615,-6.920888800177481,7.192936492052315
claude-3-haiku-20240307,0.7165887550491302,2.8193262918663344,-4.598697051975831,4.698705995263171
gemma-2-9b-it,-10.464285615973887,7.837536243125975,-13.253440406755061,12.706174399104311
deepseek-coder-v2,37.106650724902494,6.270478510452699,-10.779870767360208,10.342746827231288
glm-4-0116,14.347490709060274,6.6517895479547855,-11.277709767289284,10.567739373865127
qwen1.5-110b-chat,3.813215099691302,4.013839215351226,-6.40817751389274,6.3314010752597305
gpt-4-0613,3.300091480169838,3.044442054207484,-4.957756299859078,4.837265131320451
reka-flash-preview-20240611,-13.976923715004533,5.173518541088467,-8.500667385708748,8.609308413681015
yi-1.5-34b-chat,2.465506856160369,4.477213406889142,-7.9684095843993745,7.016237149247559
reka-flash-21b-20240226-online,-12.329321020539174,5.202654659488848,-8.78656355494964,8.478459152963255
mistral-large-2402,9.854330889780515,3.261281532066255,-5.2891021084232595,5.522929070877938
llama-3-8b-instruct,-16.495470617619656,2.8455336729614995,-4.582549293717399,4.5523048707859
qwen1.5-72b-chat,-3.5552951197332403,3.479461949827766,-5.932703094115732,5.811048893405995
claude-1,-24.643723878143543,4.966283299961936,-8.48556408785857,7.89931924705559
command-r,-30.14790356652458,3.3284403569900247,-5.550480688449717,5.453730829183389
reka-flash-21b-20240226,-13.42879173453978,4.056540203390016,-6.31135137015324,7.066774117646249
mistral-medium,-1.4961496028706185,3.759656038303392,-6.307918547745645,5.989543569229713
mixtral-8x22b-instruct-v0.1,3.003857205841476,3.65662477497913,-6.1702490778247885,5.939916230316012
gemini-pro-dev-api,-27.21928820526664,5.340387259616339,-8.862973145310729,8.783172042005159
claude-2.0,-5.495753456983672,6.297740043884913,-10.108822768346778,10.639769313388221
qwen1.5-32b-chat,3.9153075580141077,4.42932186834255,-7.386561296103485,7.546088330700881
zephyr-orpo-141b-A35b-v0.1,-11.364410060499468,8.726148825067456,-15.068079073268501,14.494746653365672
mistral-next,2.8337589363778464,5.780240982468896,-9.07461655952622,9.81064760882188
phi-3-medium-4k-instruct,9.222607995761173,5.252824694024856,-8.989704066188725,8.790977950446536
