,model,Rating,Rating std,Rating alpha
gpt-4-0125-preview,gpt-4-0125-preview,1668.266853448802,9.742611115275245,"[np.float64(-11.101648657773922), np.float64(26.095184037905938)]"
gpt-4-1106-preview,gpt-4-1106-preview,1667.2978262864967,5.687309911849063,"[np.float64(-3.4458019283038084), np.float64(19.429356651589615)]"
gpt-4-0314,gpt-4-0314,1622.3248280259106,6.076024870285936,"[np.float64(-3.603888434741748), np.float64(20.342074784943406)]"
gpt-4-0613,gpt-4-0613,1605.6107183985216,5.423708079930035,"[np.float64(-3.0571839002959678), np.float64(18.883273755423716)]"
qwen1.5-72b-chat,qwen1.5-72b-chat,1572.8475645744813,12.838945897804303,"[np.float64(-18.709511328725966), np.float64(33.52128465919941)]"
claude-1,claude-1,1567.6774389765176,6.088368446794718,"[np.float64(-3.8815200942540287), np.float64(20.37504160024264)]"
mistral-medium,mistral-medium,1566.974588363003,6.472944407213421,"[np.float64(-4.073005658747661), np.float64(21.30612077668843)]"
gpt-3.5-turbo-0314,gpt-3.5-turbo-0314,1560.895402013349,10.279048987145847,"[np.float64(-11.328669184721548), np.float64(28.27185826302116)]"
gpt-3.5-turbo-0125,gpt-3.5-turbo-0125,1559.4321473348039,10.4018414209795,"[np.float64(-11.604062883307051), np.float64(28.128303693399857)]"
claude-2.0,claude-2.0,1558.188912898808,7.197141139715028,"[np.float64(-5.7079403291882045), np.float64(22.156033575034144)]"
gemini-pro,gemini-pro,1553.0256711981058,8.546266357446251,"[np.float64(-8.128108760886334), np.float64(25.05662543585595)]"
gpt-3.5-turbo-0613,gpt-3.5-turbo-0613,1548.8324718771805,5.144128689054424,"[np.float64(-1.4796802730193122), np.float64(18.39982253176595)]"
claude-2.1,claude-2.1,1548.4718674071464,5.67233924737744,"[np.float64(-3.2600303984006587), np.float64(18.5377037593953)]"
gemini-pro-dev-api,gemini-pro-dev-api,1542.2280761527459,8.694187575042804,"[np.float64(-8.615179750999232), np.float64(26.117170254366783)]"
