,model,Rating,Rating std,Rating alpha
openai/gpt-4-turbo-2024-04-09,openai/gpt-4-turbo-2024-04-09,1594.5247913482167,3.430161039649843,"[np.float64(-7.858821387663511), np.float64(4.871098422353725)]"
openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13,1592.8181932157677,4.95735029764325,"[np.float64(-11.460505869222288), np.float64(7.798930973806364)]"
google/gemini-1.5-pro,google/gemini-1.5-pro,1588.0672149948186,4.962916840764088,"[np.float64(-11.234572278487349), np.float64(7.970255765240381)]"
anthropic/claude-3-opus-20240229,anthropic/claude-3-opus-20240229,1579.6573652859406,4.727061303251267,"[np.float64(-10.359807506360994), np.float64(7.9601635221577)]"
openai/gpt-4-0125-preview,openai/gpt-4-0125-preview,1572.3195921618594,4.763782012763351,"[np.float64(-10.928272151111742), np.float64(7.43017887566225)]"
meta-llama/Meta-Llama-3-70B-Instruct,meta-llama/Meta-Llama-3-70B-Instruct,1570.8551322317987,4.695234050176468,"[np.float64(-10.249474937170817), np.float64(7.518438347651681)]"
reka/reka-core-20240501,reka/reka-core-20240501,1559.1182898899358,4.649979342220784,"[np.float64(-10.676402743407607), np.float64(7.547206166244678)]"
google/gemini-1.5-flash,google/gemini-1.5-flash,1554.288253980753,4.846377424101134,"[np.float64(-10.521028625134704), np.float64(7.9613229285751)]"
deepseek/deepseekv2-chat,deepseek/deepseekv2-chat,1551.6646855189836,4.792311888956928,"[np.float64(-10.483469043145533), np.float64(8.025112235130564)]"
yi/yi-large,yi/yi-large,1550.7465619059044,4.680064018444073,"[np.float64(-10.261134952641214), np.float64(7.643439715758859)]"
anthropic/claude-3-sonnet-20240229,anthropic/claude-3-sonnet-20240229,1547.2828381964262,4.712359084008433,"[np.float64(-10.545100584544343), np.float64(7.488754646839652)]"
princeton-nlp/Llama-3-Instruct-8B-SimPO,princeton-nlp/Llama-3-Instruct-8B-SimPO,1546.4873465215296,5.021249581544172,"[np.float64(-10.731768286287206), np.float64(8.74471264664703)]"
chujiezheng/Llama-3-Instruct-8B-SimPO-ExPO,chujiezheng/Llama-3-Instruct-8B-SimPO-ExPO,1546.3270356903454,4.567396501852726,"[np.float64(-10.116235601604785), np.float64(7.008534575200201)]"
Qwen/Qwen1.5-72B-Chat,Qwen/Qwen1.5-72B-Chat,1545.246858565586,3.99902393443602,"[np.float64(-9.066922890113801), np.float64(6.034445731804453)]"
01-ai/Yi-1.5-34B-Chat,01-ai/Yi-1.5-34B-Chat,1538.3149981585238,4.824583756868101,"[np.float64(-10.603343560326948), np.float64(7.664372805489165)]"
Qwen/Qwen2-72B-Instruct,Qwen/Qwen2-72B-Instruct,1529.9723085174096,4.881702881179248,"[np.float64(-11.300072762789114), np.float64(7.676875330645316)]"
cohere/command-r-plus,cohere/command-r-plus,1515.725748293007,4.750301919072276,"[np.float64(-10.760313936721786), np.float64(7.931170973949065)]"
anthropic/claude-3-haiku-20240307,anthropic/claude-3-haiku-20240307,1513.7981027943465,3.4231075460365865,"[np.float64(-7.773048670902426), np.float64(4.956895447443912)]"
mistral/mistral-large-2402,mistral/mistral-large-2402,1510.9915845384844,4.852950980124614,"[np.float64(-10.198503648511632), np.float64(8.000995879830043)]"
reka/reka-flash-20240226,reka/reka-flash-20240226,1507.5686116267113,4.659071448259708,"[np.float64(-10.434088895925925), np.float64(7.619084128386021)]"
01-ai/Yi-1.5-9B-Chat,01-ai/Yi-1.5-9B-Chat,1497.893485343854,4.676045656889862,"[np.float64(-10.674626795603672), np.float64(7.57898664437721)]"
chujiezheng/Starling-LM-7B-beta-ExPO,chujiezheng/Starling-LM-7B-beta-ExPO,1488.3754819600995,4.931997936599894,"[np.float64(-10.73056089063516), np.float64(8.826559336652053)]"
ZhangShenao/SELM-Zephyr-7B-iter-3,ZhangShenao/SELM-Zephyr-7B-iter-3,1487.7729361885415,4.9249898837927875,"[np.float64(-10.736519846059764), np.float64(7.614241601013873)]"
mistralai/Mixtral-8x7B-Instruct-v0.1,mistralai/Mixtral-8x7B-Instruct-v0.1,1480.668635403707,4.815048879130478,"[np.float64(-10.400890630576896), np.float64(7.655414989596238)]"
